rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
204,frame_0313.jpg,125.2,0.3176,0.5192,0.1667,0.04,3,1,False,False
205,frame_0091.jpg,36.4,0.317,0.406,0.1667,0.32,3,1,False,False
206,frame_0196.jpg,78.4,0.3162,0.4884,0.0,0.36,2,0,False,False
207,frame_0213.jpg,85.2,0.3154,0.3067,0.1667,0.56,2,1,False,False
208,frame_0206.jpg,82.4,0.3137,0.2234,0.1667,0.76,2,1,False,False
209,frame_0113.jpg,45.2,0.3129,0.4297,0.1667,0.24,4,1,False,False
210,frame_0325.jpg,130.0,0.3116,0.4072,0.3333,0.04,2,2,False,False
211,frame_0098.jpg,39.2,0.3103,0.4046,0.3333,0.04,4,2,False,False
212,frame_0214.jpg,85.6,0.3088,0.3096,0.1667,0.52,3,1,False,False
213,frame_0220.jpg,88.0,0.3055,0.3989,0.1667,0.28,3,1,False,False
214,frame_0267.jpg,106.8,0.3024,0.3568,0.3333,0.12,4,2,False,False
215,frame_0022.jpg,8.8,0.2969,0.1937,0.0,1.0,4,0,False,False
216,frame_0087.jpg,34.8,0.2956,0.2992,0.1667,0.48,4,1,False,False
217,frame_0212.jpg,84.8,0.2924,0.2448,0.1667,0.6,2,1,False,False
218,frame_0314.jpg,125.6,0.2906,0.3492,0.3333,0.08,6,2,False,False
219,frame_0282.jpg,112.8,0.2902,0.3883,0.0,0.48,4,0,False,False
220,frame_0221.jpg,88.4,0.2829,0.3697,0.1667,0.24,2,1,False,False
221,frame_0307.jpg,122.8,0.2764,0.3728,0.1667,0.2,5,1,False,False
222,frame_0382.jpg,152.8,0.2733,0.3146,0.3333,0.08,6,2,False,False
223,frame_0322.jpg,128.8,0.2732,0.2825,0.3333,0.16,6,2,False,False
224,frame_0102.jpg,40.8,0.271,0.394,0.1667,0.12,3,1,False,False
225,frame_0218.jpg,87.2,0.2647,0.2854,0.1667,0.36,3,1,False,False
226,frame_0332.jpg,132.8,0.2612,0.4064,0.1667,0.04,7,1,False,False
227,frame_0370.jpg,148.0,0.2611,0.3063,0.3333,0.04,4,2,False,False
228,frame_0207.jpg,82.8,0.2586,0.1971,0.0,0.8,2,0,False,False
229,frame_0120.jpg,48.0,0.2583,0.2086,0.1667,0.52,5,1,False,False
230,frame_0115.jpg,46.0,0.2568,0.3855,0.0,0.32,5,0,False,False
231,frame_0108.jpg,43.2,0.2534,0.2909,0.3333,0.04,7,2,False,False
232,frame_0269.jpg,107.6,0.2524,0.3887,0.1667,0.04,5,1,False,False
233,frame_0278.jpg,111.2,0.2436,0.3592,0.0,0.32,5,0,False,False
234,frame_0180.jpg,72.0,0.2357,0.2395,0.3333,0.08,6,2,False,False
235,frame_0324.jpg,129.6,0.2351,0.3381,0.1667,0.08,5,1,False,False
236,frame_0211.jpg,84.4,0.2343,0.2125,0.0,0.64,3,0,False,False
237,frame_0097.jpg,38.8,0.2332,0.3344,0.1667,0.08,5,1,False,False
238,frame_0309.jpg,123.6,0.2324,0.2168,0.3333,0.12,5,2,False,False
239,frame_0388.jpg,155.2,0.2263,0.2885,0.1667,0.16,8,1,False,False
240,frame_0226.jpg,90.4,0.225,0.3339,0.1667,0.04,3,1,False,False
241,frame_0310.jpg,124.0,0.2212,0.3103,0.1667,0.08,2,1,False,False
242,frame_0190.jpg,76.0,0.2187,0.2893,0.1667,0.12,3,1,False,False
243,frame_0217.jpg,86.8,0.2187,0.2774,0.0,0.4,1,0,False,False
244,frame_0101.jpg,40.4,0.2179,0.4039,0.0,0.08,3,0,False,False
245,frame_0393.jpg,157.2,0.2174,0.3187,0.1667,0.04,3,1,False,False
246,frame_0229.jpg,91.6,0.2094,0.2867,0.1667,0.08,6,1,False,False
247,frame_0204.jpg,81.6,0.2072,0.1425,0.0,0.68,2,0,False,False
248,frame_0092.jpg,36.8,0.2036,0.2952,0.0,0.28,1,0,False,False
249,frame_0311.jpg,124.4,0.2,0.284,0.1667,0.04,3,1,False,False
250,frame_0371.jpg,148.4,0.1981,0.3642,0.0,0.08,5,0,False,False
251,frame_0199.jpg,79.6,0.1832,0.1744,0.0,0.48,1,0,False,False
252,frame_0188.jpg,75.2,0.1787,0.2414,0.1667,0.04,5,1,False,False
253,frame_0323.jpg,129.2,0.1745,0.201,0.1667,0.12,5,1,False,False
254,frame_0119.jpg,47.6,0.1721,0.1522,0.0,0.48,3,0,False,False
255,frame_0093.jpg,37.2,0.1577,0.2193,0.0,0.24,2,0,False,False
256,frame_0219.jpg,87.6,0.134,0.14,0.0,0.32,2,0,False,False
